category,mean_mae,mean_rmse,mean_mape,naive_mae,seasonal_mae,arima_order,arima_mae,arima_rmse,arima_mape,lstm_mae,lstm_rmse,lstm_mape,best_model
Clothing,595.5292425030335,724.6342928436336,26.006167090825123,1133.2444444444445,852.0333333333333,"(0, 0, 1)",595.136737005409,724.3979897066555,25.993920397497394,665.9379855685764,788.1193386589953,30.528297795677005,arima
Electronics,606.4509447044549,760.1182369120758,24.29092934435835,616.6777777777778,792.0,"(0, 0, 2)",605.9287076338471,759.4623423562557,24.269616024637656,589.438525390625,743.8483890224923,24.721393448299914,lstm
Furniture,617.7307332293292,781.0638242479403,21.14324180185834,623.6666666666666,831.7,"(2, 0, 1)",618.6026360789766,783.0455895093045,21.124929245975345,636.0469129774306,806.4102525299943,21.25682584206823,mean
Groceries,563.4878835153407,717.7634333099672,25.193375283998343,822.6222222222223,836.4222222222222,"(0, 1, 0)",822.6222222222223,1018.3666442996954,28.53324007013111,626.9846516927083,766.3906035297389,28.89989401518957,mean
Toys,562.4803952158086,704.5665048470521,23.523624680531842,1040.9777777777779,797.7111111111111,"(1, 0, 1)",564.8259136628177,705.9176088364179,23.711053497189535,580.9948486328125,719.5561176261438,25.115422631801014,mean
